NAMA BAHAN,Air (g),Energi (kal),Protein (g),Lemak (g),Karbohidrat (g),Serat (g),Abu (g),Kalsium (mg),Fosfor (mg),Besi (mg),Natrium (mg),Kalium (mg),Tembaga (mg),Seng (mg) ,Retinol (mcg),B-Kar (mcg),Kar-Total (mcg),Thiamin (mg),Riboflavin (mg),Niasin (mg),Vitamin C,BDD (%)
"Ketela pohon/ singkong, segar",61.4,154,1.0,0.3,36.8,0.9,0.5,77,24,1.1,2.0,394.0,0.3,0.4,0,0,0.0,0.06,0.1,0.5,31,85.0
Lepok/Ubi rumput,55.3,181,2.8,1.2,39.8,10.7,0.9,7,50,3.1,116.0,306.0,1.6,0.9,0,0,0.0,0.28,0.05,1.5,0,85.0
"Sagu aren, kering",11.9,355,0.6,1.1,85.6,0.3,0.8,91,167,2.2,2.0,200.0,0.0,0.3,0,0,0.0,0.04,0.1,0.5,0,100.0
"Sagu aren, segar",42.5,231,0.6,0.2,56.6,3.2,0.1,20,20,0.1,7.0,0.0,0.1,0.1,0,0,0.0,0.2,0.0,0.0,0,100.0
Sagu kasbi segar,42.5,230,0.6,0.2,56.5,3.0,0.2,20,1,0.3,100.0,410.0,0.1,0.2,0,0,0.0,0.1,0.0,0.0,0,100.0
Sagu lempeng,13.5,347,0.9,0.3,85.2,4.7,0.1,30,30,0.2,11.0,0.0,0.1,0.1,0,0,0.0,0.3,0.0,0.0,0,100.0
"Sagu singkong, kering",12.0,362,0.5,0.3,86.9,0.0,0.3,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,100.0
"Sente, talas, segar",14.0,353,0.7,0.2,84.7,6.6,0.4,11,13,1.5,30.0,694.6,0.6,2.2,0,41,0.0,0.05,0.2,2.8,5,86.0
"Suweg, talas, segar",80.1,74,1.4,0.1,17.2,1.4,1.2,42,46,1.3,7.0,400.0,0.1,0.1,0,24,254.0,0.04,0.0,0.4,2,86.0
"Talas bogor, segar",72.4,108,1.4,0.4,25.0,0.9,0.8,47,67,0.7,10.0,448.0,0.2,0.7,0,0,0.0,0.06,0.07,1.0,4,85.0
"Talas pontianak, segar",60.0,163,2.3,0.5,36.4,0.7,0.9,45,80,1.7,14.0,323.1,0.3,1.0,0,0,0.0,0.02,0.1,1.3,0,83.0
"Talas viqueque, segar",70.6,115,1.8,0.5,25.9,8.6,1.2,50,220,0.9,1.0,70.0,0.3,1.0,0,0,0.0,0.08,0.1,0.9,0,85.0
"Ubi jalar, kuning, segar",72.6,119,0.5,0.4,25.1,4.2,1.0,30,40,0.4,3.0,1.0,0.1,0.2,0,794,4948.0,0.06,0.07,0.7,21,85.0
"Ubi jalar manis, segar",78.4,83,1.5,0.2,18.8,0.6,1.1,27,162,2.1,52.0,320.7,0.1,0.3,0,0,0.0,0.02,0.0,0.4,0,85.0
"Ubi jalar merah, segar",61.9,151,1.6,0.3,35.4,0.7,0.6,29,74,0.7,92.0,565.6,0.3,0.5,0,0,1208.0,0.13,0.08,0.7,11,86.0
"Ubi jalar putih, segar",77.8,88,0.4,0.4,20.6,4.0,0.8,30,10,0.5,2.0,4.0,0.1,0.2,0,13,264.0,0.25,0.06,0.5,36,86.0
"Ubi jalar tinta/
kemayung",72.5,108,0.5,0.4,25.6,4.2,1.0,30,40,0.5,1.0,1.0,0.1,0.2,0,13,0.0,0.09,0.06,0.6,24,85.0
"Umbi Uwi, segar",69.7,120,2.8,0.5,82.3,2.6,0.9,9,42,1.3,12.0,412.0,0.3,0.6,0,0,0.0,0.02,0.5,0.2,4,86.0
"Batatas kelapa, ubi,
bakar",73.2,110,1.4,1.1,23.4,4.5,0.7,1,46,0.2,12.0,230.0,0.2,0.3,0,0,0.0,1.13,0.0,0.0,0,85.0
"Batatas kelapa, ubi,
kukus",75.7,92,1.2,0.3,21.0,4.1,1.8,0,42,0.2,10.0,209.0,0.2,0.3,0,0,0.0,0.28,0.0,0.7,0,100.0
"Batatas tali, ubi, rebus",53.2,182,2.4,0.4,42.2,9.2,1.8,1,80,0.3,20.0,402.0,0.3,0.6,0,0,0.0,0.27,0.0,1.3,0,100.0
"Belitung, talas, kukus",63.1,145,1.2,0.4,34.2,1.0,1.1,21,48,0.9,7.0,552.6,0.2,0.9,0,0,0.0,0.08,0.1,2.3,1,100.0
"Bentul, talas, kukus",81.1,71,2.3,0.3,15.4,0.5,0.9,29,26,0.6,0.0,201.0,0.2,0.6,0,0,0.0,0.06,0.0,0.0,21,100.0
"Gadung, ubi, kukus",77.4,88,0.6,0.3,20.9,0.9,0.8,26,47,0.4,6.0,584.0,0.2,0.2,0,0,0.0,0.03,0.0,0.4,0,100.0
"Ganyong, rebus",74.1,100,0.8,0.2,23.8,0.9,1.1,15,65,0.9,0.0,0.0,0.0,0.0,0,0,0.0,0.04,0.0,0.0,6,100.0
"Ketela pohon/
singkong kukus",61.5,153,1.2,0.3,36.4,1.3,0.6,56,22,0.4,2.0,345.3,0.3,0.1,0,0,0.0,0.0,0.0,0.3,20,100.0
"Suweg, talas, kukus",75.5,93,1.5,0.1,21.9,0.9,1.0,50,58,0.8,6.0,350.3,0.1,0.1,0,0,283.0,0.09,0.0,0.3,0,100.0
"Talas bogor, kukus",69.2,120,1.5,0.3,28.2,0.7,0.8,31,63,0.7,11.0,498.0,0.2,0.6,0,0,0.0,0.05,0.6,0.8,2,100.0
"Ubi jalar, kuning,
kukus",74.2,100,0.7,0.3,23.8,1.0,1.0,44,46,0.4,3.0,0.8,0.1,0.2,0,819,4427.0,0.0,0.1,0.6,16,100.0
"Ubi jalar tinta/
kemayung kukus",58.5,165,0.9,0.2,39.8,1.1,0.6,20,23,0.8,1.0,0.9,0.1,0.2,0,0,0.0,0.02,0.1,0.5,0,100.0
Bagea kelapa asin,3.5,450,3.2,13.9,78.1,0.0,1.3,38,38,0.3,74.0,0.0,0.2,0.2,0,0,0.0,0.3,0.0,0.0,0,100.0
Bagea kelapa manis,3.0,452,1.3,13.8,80.6,0.0,1.3,38,39,0.3,75.0,0.0,0.2,0.2,0,0,0.3,0.0,0.0,0.0,0,100.0
Bagea kenari asin,2.8,529,3.2,29.1,63.6,0.0,1.3,38,40,0.4,74.0,0.0,0.2,0.2,0,0,0.0,0.3,0.0,0.0,0,100.0
Bagea kenari manis,3.1,523,3.2,28.2,64.2,0.0,1.3,38,39,0.3,74.0,0.0,0.2,0.2,0,0,0.0,0.3,0.0,0.0,0,100.0
Bagea kw 1,7.2,416,6.5,9.4,76.3,0.4,0.6,49,77,4.9,0.0,0.0,0.0,0.0,13,0,312.0,0.08,0.0,2.6,0,100.0
Bagea kw 2,7.9,382,0.3,3.5,87.2,0.9,1.1,172,120,7.6,0.0,0.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0,100.0
Beras Cerdas,11.3,350,2.7,1.1,82.3,6.2,2.6,28,351,2.9,358.0,568.0,0.2,0.9,0,0,0.0,0.02,0.2,0.3,0,100.0
Beras ganyong,9.3,364,3.4,0.7,86.3,4.7,0.5,4,47,5.0,4.0,72.2,0.2,0.6,0,1,0.1,0.02,0.02,0.3,0,100.0
Beras Siger,13.5,344,1.1,0.2,28.3,5.6,0.7,32,22,5.6,106.0,77.9,0.1,0.5,0,0,0.0,0.02,0.1,0.2,0,100.0
Biji nangka/Biji salak,40.5,262,2.3,5.4,51.1,8.0,0.7,60,80,0.8,10.0,2.0,0.6,2.0,0,1667,0.0,0.1,1.0,0.0,10,100.0
Bubur sagu,62.5,167,0.2,4.0,33.0,0.0,0.3,3,3,0.1,7.0,0.0,0.1,0.1,0,0,0.0,9.0,0.0,0.1,0,100.0
Cassavastick,5.6,460,0.8,18.7,17.2,1.6,2.7,144,58,7.5,0.0,0.0,0.0,0.0,0,0,107.0,0.19,0.07,0.1,0,100.0
"Ceriping getuk
singkong",7.2,462,1.2,20.7,67.7,0.6,3.2,1248,172,8.8,0.0,0.0,0.0,0.0,0,0,152.0,0.29,0.02,0.5,0,100.0
Gatot,12.8,347,1.3,0.7,83.8,5.8,1.4,78,44,17.1,28.0,242.0,0.2,0.7,0,0,0.0,0.02,0.1,0.4,0,100.0
Geblek,52.1,195,0.4,1.7,44.4,3.6,1.4,35,13,0.6,353.0,125.0,0.3,0.3,0,0,0.3,0.02,0.0,0.1,0,100.0
Getuk goreng,16.5,360,1.3,6.4,74.3,0.8,1.5,59,81,3.2,0.0,0.0,0.0,0.0,0,0,0.0,0.21,0.0,0.1,0,100.0
Getuk singkong,49.8,204,0.5,1.4,47.4,0.8,1.1,97,52,1.5,0.0,0.0,0.0,0.0,0,0,208.0,0.08,0.0,0.1,0,100.0
Gurandil,47.5,218,0.5,2.5,48.5,3.1,1.0,50,25,2.8,0.0,0.0,0.0,0.0,0,0,0.0,0.19,0.0,0.0,0,100.0
Kabuto,58.9,250,2.6,2.5,35.4,1.8,0.6,35,49,1.1,2.0,218.0,0.0,0.0,0,0,0.0,0.1,0.1,0.6,0,100.0
Kapurung,79.6,41,2.0,0.3,7.8,2.0,0.6,34,12,0.3,185.0,566.0,0.1,0.3,0,213,0.0,0.12,0.25,2.7,15,100.0
"Kecimpring singkong
goreng",3.7,464,1.2,18.6,73.0,1.3,3.5,82,52,3.4,0.0,0.0,0.0,0.0,0,0,3320.0,0.34,0.0,0.0,0,100.0
Keremes,6.7,475,1.6,25.2,64.4,2.1,2.1,153,88,1.0,0.0,0.0,0.0,0.0,0,0,1000.0,0.0,0.0,0.0,0,100.0
Keripik gadung,4.0,446,2.8,14.5,76.0,1.7,2.8,147,52,1.9,0.0,0.0,0.0,0.0,0,0,0.0,0.95,0.0,0.0,0,100.0
Keripik kentang,7.8,448,2.7,18.8,67.1,3.8,3.6,25,130,1.2,712.0,406.0,1.1,0.0,0,15,0.0,0.1,0.05,2.8,0,100.0
Keripik singkong,4.2,478,0.9,20.7,72.0,2.0,2.2,189,101,1.9,0.0,0.0,0.0,0.0,0,0,0.0,0.24,0.0,0.0,0,100.0
Keripik singkong berbumbu,2.2,481,2.2,19.7,73.6,1.6,2.3,156,103,1.6,0.0,0.0,0.0,0.0,0,0,80.0,0.31,0.0,0.0,0,100.0
Keripik ubi,6.0,486,0.2,23.9,67.6,14.3,2.3,68,92,0.9,52.0,2.0,0.7,2.3,0,920,0.0,0.1,0.1,0.5,0,100.0
Kerupuk cumi goreng,3.4,444,6.9,14.6,71.3,5.0,3.8,47,375,1.8,837.0,191.0,0.1,0.3,0,0,0.0,0.4,0.1,1.8,0,100.0
"Kerupuk kemplang
(ikan) mentah",14.2,325,1.8,0.4,78.5,4.5,5.1,59,268,2.3,1123.0,273.0,0.2,0.5,32,0,0.0,0.6,0.1,2.3,0,100.0
"Kerupuk kemplang
goreng",5.8,504,5.6,28.1,57.1,0.3,3.4,50,94,2.9,0.0,0.0,0.0,0.0,6,0,280.0,0.31,0.0,0.0,0,100.0
"Kerupuk kemplang
panggang",9.4,356,9.7,1.1,76.9,1.0,3.0,62,129,2.9,0.0,0.0,0.0,0.0,7,0,280.0,0.36,0.0,0.0,0,100.0
"Kerupuk mie kuning
goreng",7.2,476,0.1,21.1,71.3,4.2,0.3,57,36,4.6,0.0,109.0,0.1,0.2,0,0,333.0,0.22,0.0,0.9,0,100.0
Kerupuk udang goreng,4.4,477,4.7,20.5,68.5,5.0,1.9,24,188,0.9,449.0,109.0,0.1,0.2,0,0,0.0,0.2,0.0,0.9,0,100.0
Kue bangket,16.1,338,1.5,1.2,80.3,0.0,0.9,34,35,0.3,67.0,0.0,0.2,0.2,0,0,0.0,0.3,0.0,0.0,0,100.0
Kue putu singkong,44.2,217,1.2,0.5,53.2,2.4,0.9,48,68,1.5,3.0,305.0,0.0,0.0,0,0,0.0,0.1,0.1,0.8,0,100.0
Lanting getuk,4.2,422,0.9,10.8,80.4,1.4,3.8,206,104,3.6,0.0,0.0,0.0,0.0,0,0,0.0,0.43,0.0,0.0,0,100.0
Mi golosor,82.9,71,0.2,0.8,15.9,0.1,0.2,117,5,0.2,0.0,0.0,0.0,0.0,0,0,112.0,0.05,0.02,0.0,0,100.0
Mie Bendo,11.5,353,0.3,0.0,88.0,2.4,0.2,28,14,2.8,9.0,49.2,0.5,0.1,0,2,0.0,0.02,0.0,0.1,0,100.0
Mie Sagu,52.8,190,0.2,0.4,46.5,1.4,0.1,8,7,0.3,10.0,2.6,0.1,0.0,0,2,0.0,0.0,0.4,0.0,0,100.0
Ongol-ongol sagu,75.3,111,0.3,2.7,21.2,0.3,0.5,79,15,1.7,0.0,0.0,0.0,0.0,0,0,0.0,0.06,0.0,0.0,0,100.0
Oyek,12.6,351,0.9,0.9,84.9,4.3,0.7,60,36,2.1,5.0,229.0,0.1,0.5,0,0,0.0,0.02,0.02,0.5,0,100.0
Papeda,84.8,61,0.2,0.1,14.9,0.5,0.1,3,1,0.2,4.0,20.0,0.1,0.1,0,0,0.0,0.06,0.0,0.0,0,100.0
Rasbi (Beras Ubi),11.1,394,2.2,8.8,76.6,6.8,1.3,68,76,1.6,165.0,388.0,0.4,0.4,0,0,0.0,0.02,0.3,1.2,0,100.0
Rasi (Beras Singkong),12.6,350,0.9,0.4,85.7,14.4,0.5,42,21,1.5,8.0,14.0,0.3,0.5,0,0,0.0,0.02,0.02,0.4,0,100.0
Sagu forno,31.5,291,0.5,4.0,63.4,0.0,0.6,10,20,0.8,40.0,50.0,0.1,0.2,0,0,0.0,0.0,0.0,0.0,0,100.0
"Sagu Lemak (Kue
Sagon)",4.3,452,2.8,14.8,76.8,1.1,0.7,15,39,1.1,182.0,52.7,0.04,0.8,0,1220,0.0,0.32,0.04,0.1,0,100.0
Sagu manis,32.6,287,0.5,3.9,62.4,0.0,0.6,8,17,0.7,34.0,42.0,0.1,0.2,0,0,0.0,0.0,0.0,0.0,0,100.0
Sagu Rendang,8.2,364,0.1,0.2,90.5,1.9,1.0,13,9,3.9,42.0,15.1,0.1,0.1,0,0,0.0,0.02,0.6,0.8,0,100.0
Sagu sinole,22.0,354,0.8,8.3,68.9,0.0,0.1,10,30,0.8,30.0,11.0,0.2,0.3,0,0,0.0,0.0,0.0,0.0,0,100.0
Serimping talas kebumen,4.8,478,2.5,21.2,69.2,1.7,2.3,112,118,2.3,0.0,0.0,0.0,0.0,0,0,0.0,0.25,0.0,0.0,0,100.0
Tapai singkong,57.4,169,1.4,0.3,40.2,2.0,0.7,21,34,0.8,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,9,100.0
Tepung Arrowroot,13.6,355,0.7,0.2,85.2,0.4,0.3,8,22,1.5,2.0,10.7,0.0,0.1,0,20,3.0,0.09,0.0,0.0,0,100.0
Tepung Ganyong,13.6,353,0.8,1.7,83.6,0.7,0.3,4,31,3.3,3.0,63.5,0.1,0.3,0,0,0.0,0.02,0.0,0.9,1,100.0
Tepung Gaplek,13.0,345,2.4,0.4,83.1,6.7,1.1,18,95,1.5,6.0,55.0,0.4,1.2,0,1,0.0,0.3,0.2,0.1,0,100.0
"Tepung kentang, kering",13.0,347,0.3,0.1,85.6,0.4,1.0,20,30,0.5,51.0,156.3,0.2,0.5,0,0,0.0,0.04,0.0,0.4,0,100.0
Tepung Mocaf,11.9,350,1.2,0.6,85.0,6.0,1.3,60,64,15.8,8.0,403.0,0.1,0.6,0,0,0.0,0.02,0.02,0.7,2,100.0
Tepung Sente,15.3,326,4.0,0.4,76.7,8.5,3.6,41,141,3.5,14.0,1602.0,0.4,1.4,0,0,0.0,0.02,0.2,7.7,0,100.0
Tepung singkong/Tapioka,9.1,363,1.1,0.5,88.2,0.9,1.1,84,125,1.0,1.0,7.1,0.0,0.1,0,0,0.0,0.04,0.0,0.4,0,100.0
Tepung Tales Beneng,12.2,332,5.7,0.6,76.1,12.2,5.5,59,302,10.7,7.0,1404.0,0.8,6.2,0,0,0.0,0.02,0.1,0.3,0,100.0
Tepung Ubi Ungu,9.4,354,2.8,0.6,84.4,12.9,2.8,89,125,3.9,42.0,940.0,0.8,0.6,0,0,0.0,0.4,0.02,0.0,0,100.0
Tiwul,11.2,353,2.4,1.1,83.4,6.5,1.6,55,95,4.7,5.0,670.0,0.2,0.8,0,0,0.0,0.02,0.02,0.1,3,100.0
Tiwul Instan,9.1,395,3.2,8.5,76.5,4.2,2.7,81,81,5.8,377.0,469.0,2.1,1.2,0,0,0.0,0.4,0.2,0.2,4,100.0
Ubi Cilembu,52.7,186,1.9,0.2,44.3,3.4,0.9,37,51,0.6,1.0,61.9,0.1,0.2,0,26,0.0,0.02,0.2,0.0,0,89.6
Uli batatas,66.5,150,1.1,4.0,27.4,0.0,1.0,0,23,0.1,6.0,112.0,0.1,0.2,0,0,0.0,0.53,0.0,1.3,0,100.0
"Kacang arab, kering",11.6,330,23.8,1.4,60.2,17.4,3.0,57,388,4.7,24.0,874.3,0.85,3.4,0,40,140.0,0.77,0.21,1.5,2,100.0
"Kacang babi, kering",11.6,341,30.4,3.2,51.3,4.5,3.5,178,521,6.8,13.0,1768.0,0.82,3.1,0,0,87.0,0.23,0.33,2.8,0,80.0
"Kacang belimbing
(kecipir), kering",10.4,400,34.4,16.9,34.1,10.7,4.2,468,182,6.8,37.0,955.0,2.82,2.0,0,0,0.0,0.3,0.44,3.0,0,100.0
"Kacang beracun, segar",72.1,118,4.4,1.5,21.6,0.0,0.4,50,50,1.7,10.0,40.0,0.3,1.0,0,0,0.0,0.43,0.0,0.0,0,0.0
"Kacang bogor, kering",10.0,370,16.0,6.0,65.0,26.3,3.0,85,264,4.2,44.0,868.8,1.48,2.7,0,0,0.0,0.18,0.26,6.2,0,100.0
"Kacang bogor, segar",60.8,165,7.7,3.1,27.4,2.5,1.0,96,126,5.3,6.0,537.0,0.41,1.2,0,29,0.0,0.32,0.35,2.7,0,100.0
"Kacang endel, biji,
kering",14.0,331,25.0,1.0,58.0,23.6,2.0,80,400,5.0,12.0,1322.4,0.68,2.7,0,0,0.0,0.3,0.75,2.3,0,95.0
"Kacang ercis, segar",67.6,129,12.4,0.7,18.3,28.6,1.0,40,130,2.3,4.0,310.0,0.3,2.1,0,212,0.0,0.29,0.05,2.7,0,45.0
"kacang galing, segar",12.0,336,23.1,1.7,59.5,0.0,3.8,80,400,5.0,0.0,0.0,0.0,0.0,0,0,0.0,0.6,0.0,0.0,0,95.0
"Kacang gude, biji,
kering",16.1,316,20.7,1.0,58.0,4.6,4.2,146,445,4.7,16.0,1306.2,0.99,2.7,0,19,0.0,0.3,0.19,2.4,0,100.0
"Kacang gude, biji, segar",70.3,114,7.0,0.6,20.8,4.4,2.3,3,122,1.5,4.0,480.5,0.12,0.9,0,0,70.0,0.37,0.07,0.8,43,100.0
"Kacang hijau var,
bakti, kering",7.4,350,17.1,1.8,70.7,5.7,3.1,94,315,4.9,46.0,893.9,1.52,3.1,0,171,235.0,0.4,0.27,2.6,11,100.0
"Kacang hijau var,
siwalik, kering",8.8,339,20.8,2.1,64.6,7.4,3.7,122,136,4.9,45.0,880.4,1.5,3.1,0,168,321.0,0.45,0.27,2.6,0,100.0
"Kacang hijau, kering",15.5,323,22.9,1.5,56.8,7.5,3.3,223,319,7.5,42.0,815.7,1.9,2.9,0,156,223.0,0.46,0.15,1.5,10,100.0
"Kacang hitam, kering",12.5,346,16.6,1.7,66.1,22.8,3.1,70,300,4.7,3.0,0.0,0.9,3.5,0,28,0.0,0.16,0.1,2.1,0,100.0
"Kacang kapri, segar",74.3,98,6.7,0.4,17.7,6.2,0.9,22,122,1.9,6.0,296.6,0.21,1.5,0,0,680.0,0.34,0.16,2.5,26,45.0
"Kacang kedelai, kering",12.7,381,40.4,16.7,24.9,3.2,5.5,222,682,10.0,210.0,713.4,1.58,3.9,0,237,31.0,0.52,0.12,1.2,0,100.0
"Kacang kedelai, segar",20.0,286,30.2,15.6,30.1,2.9,4.1,196,506,6.9,28.0,870.9,1.24,3.6,0,0,95.0,0.93,0.26,1.8,0,100.0
"Kacang kincai, kering",4.2,444,19.9,16.0,55.0,0.0,4.9,26,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.1,0.1,1.9,0,0.0
"Kacang komak, segar",20.9,327,16.4,4.3,55.8,0.5,2.6,74,282,4.0,22.0,1137.0,0.9,2.1,0,0,0.0,0.99,0.12,0.1,0,45.0
"Kacang kuning, kering",11.7,355,17.0,2.5,66.0,15.1,2.8,140,220,5.8,1.0,0.0,0.7,3.2,0,58,0.0,0.47,0.08,1.9,0,0.0
"Kacang lebui /iris, kering",11.8,346,16.5,1.5,66.6,37.3,3.6,144,368,3.4,17.0,1225.0,1.5,3.3,0,64,0.0,0.62,0.2,0.0,0,100.0
"Kacang mentega, kering",13.7,344,16.7,2.1,64.6,13.0,2.9,110,300,6.7,1.0,10.0,0.7,2.5,0,0,0.0,0.21,0.07,1.2,0,0.0
